PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Kyle Anderson,Grizzlies,03 January 2022,09 January 2022,6,nba health and safety protocols
Rui Hachimura,Wizards,28 December 2021,09 January 2022,12,nba health and safety protocols
Tremont Waters,Wizards,03 January 2022,09 January 2022,6,nba health and safety protocols
Xavier Tillman,Grizzlies,30 December 2021,09 January 2022,10,nba health and safety protocols
Brad Wanamaker,Wizards,31 December 2021,08 January 2022,8,nba health and safety protocols
Chris Clemons,Hawks,06 January 2022,08 January 2022,2,nba health and safety protocols
Chris Duarte,Pacers,30 December 2021,08 January 2022,9,nba health and safety protocols
Isaiah Thomas,Mavericks,30 December 2021,08 January 2022,9,nba health and safety protocols
Ivica Zubac,Clippers,30 December 2021,08 January 2022,9,nba health and safety protocols
Jeremy Lamb,Pacers,29 December 2021,08 January 2022,10,nba health and safety protocols
Armoni Brooks,Rockets,02 January 2022,07 January 2022,5,nba health and safety protocols
Bogdan Bogdanovic,Hawks,28 December 2021,07 January 2022,10,nba health and safety protocols
Cedi Osman,Cavaliers,25 December 2021,07 January 2022,13,nba health and safety protocols
Cory Joseph,Pistons,26 December 2021,07 January 2022,12,nba health and safety protocols
Deandre Ayton,Suns,27 December 2021,07 January 2022,11,nba health and safety protocols
Jae Crowder,Suns,26 December 2021,07 January 2022,12,nba health and safety protocols
JaVale McGee,Suns,30 December 2021,07 January 2022,8,nba health and safety protocols
Jeff Green,Nuggets,30 December 2021,07 January 2022,8,nba health and safety protocols
John Collins,Hawks,26 December 2021,07 January 2022,12,nba health and safety protocols
Lonnie Walker IV,Spurs,01 January 2022,07 January 2022,6,nba health and safety protocols
Rajon Rondo,Cavaliers,26 December 2021,07 January 2022,12,nba health and safety protocols
Zeke Nnaji,Nuggets,30 December 2021,07 January 2022,8,nba health and safety protocols
Aaron Holiday,Wizards,27 December 2021,06 January 2022,10,nba health and safety protocols
De'Anthony Melton,Grizzlies,26 December 2021,06 January 2022,11,nba health and safety protocols
Dillon Brooks,Grizzlies,26 December 2021,06 January 2022,11,nba health and safety protocols
Kelan Martin,Pacers,31 December 2021,06 January 2022,6,nba health and safety protocols
Matisse Thybulle,76ers,03 January 2022,06 January 2022,3,nba health and safety protocols
Spencer Dinwiddie,Wizards,30 December 2021,06 January 2022,7,nba health and safety protocols
Svi Mykhailiuk,Raptors,04 January 2022,06 January 2022,2,nba health and safety protocols
Tony Bradley,Bulls,26 December 2021,06 January 2022,11,nba health and safety protocols
Trey Burke,Mavericks,22 December 2021,06 January 2022,15,nba health and safety protocols
Aaron Nesmith,Celtics,24 December 2021,05 January 2022,12,nba health and safety protocols
D'Angelo Russell,Timberwolves,25 December 2021,05 January 2022,11,nba health and safety protocols
Dejounte Murray,Spurs,26 December 2021,05 January 2022,10,nba health and safety protocols
Jordan Nwora,Bucks,03 January 2022,05 January 2022,2,nba health and safety protocols
Karl-Anthony Towns,Timberwolves,23 December 2021,05 January 2022,13,nba health and safety protocols
Kyrie Irving,Nets,18 December 2021,05 January 2022,18,nba health and safety protocols
Monte Morris,Nuggets,31 December 2021,05 January 2022,5,nba health and safety protocols
Myles Powell,76ers,30 December 2021,05 January 2022,6,nba health and safety protocols
PJ Washington,Hornets,26 December 2021,05 January 2022,10,nba health and safety protocols
Semi Ojeleye,Bucks,30 December 2021,05 January 2022,6,nba health and safety protocols
Shai Gilgeous-Alexander,Thunder,01 January 2022,05 January 2022,4,nba health and safety protocols
Thanasis Antetokounmpo,Bucks,01 January 2022,05 January 2022,4,nba health and safety protocols
Chuma Okeke,Magic,26 December 2021,04 January 2022,9,nba health and safety protocols
Darius Bazley,Thunder,26 December 2021,04 January 2022,9,nba health and safety protocols
Isaac Bonga,Raptors,26 December 2021,04 January 2022,9,nba health and safety protocols
Jayson Tatum,Celtics,27 December 2021,04 January 2022,8,nba health and safety protocols
Julius Randle,Knicks,30 December 2021,04 January 2022,5,nba health and safety protocols
Max Strus,Heat,28 December 2021,04 January 2022,7,nba health and safety protocols
Raul Neto,Wizards,26 December 2021,04 January 2022,9,nba health and safety protocols
Ziaire Williams,Grizzlies,19 December 2021,04 January 2022,16,nba health and safety protocols
Bones Hyland,Nuggets,30 December 2021,03 January 2022,4,nba health and safety protocols
Cassius Winston,Wizards,30 December 2021,03 January 2022,4,nba health and safety protocols
Danny Green,76ers,22 December 2021,03 January 2022,12,nba health and safety protocols
Darius Garland,Cavaliers,28 December 2021,03 January 2022,6,nba health and safety protocols
Denzel Valentine,Cavaliers,19 December 2021,03 January 2022,15,nba health and safety protocols
Garrison Mathews,Rockets,26 December 2021,03 January 2022,8,nba health and safety protocols
Jarrett Culver,Grizzlies,23 December 2021,03 January 2022,11,nba health and safety protocols
Jay Scrubb,Clippers,26 December 2021,03 January 2022,8,nba health and safety protocols
Jericho Sims,Knicks,25 December 2021,03 January 2022,9,nba health and safety protocols
Jonas Valanciunas,Pelicans,31 December 2021,03 January 2022,3,nba health and safety protocols
Jusuf Nurkic,Blazers,26 December 2021,03 January 2022,8,nba health and safety protocols
Mitchell Robinson,Knicks,01 January 2022,03 January 2022,2,nba health and safety protocols
P.J. Tucker,Heat,29 December 2021,03 January 2022,5,nba health and safety protocols
Alfonzo McKinnie,Bulls,26 December 2021,02 January 2022,7,nba health and safety protocols
Anfernee Simons,Blazers,30 December 2021,02 January 2022,3,nba health and safety protocols
Brandon Knight,Mavericks,29 December 2021,02 January 2022,4,nba health and safety protocols
Bruno Fernando,Celtics,24 December 2021,02 January 2022,9,nba health and safety protocols
Cade Cunningham,Pistons,22 December 2021,02 January 2022,11,nba health and safety protocols
D.J. Augustin,Rockets,26 December 2021,02 January 2022,7,nba health and safety protocols
Damion Lee,Warriors,22 December 2021,02 January 2022,11,nba health and safety protocols
Draymond Green,Warriors,26 December 2021,02 January 2022,7,nba health and safety protocols
Josh Jackson,Pistons,26 December 2021,02 January 2022,7,nba health and safety protocols
Keljin Blevins,Blazers,25 December 2021,02 January 2022,8,nba health and safety protocols
Killian Hayes,Pistons,23 December 2021,02 January 2022,10,nba health and safety protocols
Lonzo Ball,Bulls,26 December 2021,02 January 2022,7,nba health and safety protocols
Miles Bridges,Hornets,26 December 2021,02 January 2022,7,nba health and safety protocols
Mo Bamba,Magic,17 December 2021,02 January 2022,16,nba health and safety protocols
Robert Covington,Blazers,25 December 2021,02 January 2022,8,nba health and safety protocols
Rodney McGruder,Pistons,23 December 2021,02 January 2022,10,nba health and safety protocols
Saben Lee,Pistons,23 December 2021,02 January 2022,10,nba health and safety protocols
Trey Lyles,Pistons,25 December 2021,02 January 2022,8,nba health and safety protocols
D.J. Wilson,Raptors,31 December 2021,01 January 2022,1,nba health and safety protocols
Danilo Gallinari,Hawks,21 December 2021,01 January 2022,11,nba health and safety protocols
Day'Ron Sharpe,Nets,18 December 2021,01 January 2022,14,nba health and safety protocols
Delon Wright,Hawks,27 December 2021,01 January 2022,5,nba health and safety protocols
Ersan Ilyasova,Bulls,28 December 2021,01 January 2022,4,nba health and safety protocols
Josh Giddey,Thunder,28 December 2021,01 January 2022,4,nba health and safety protocols
Kevin Huerter,Hawks,22 December 2021,01 January 2022,10,nba health and safety protocols
Luka Doncic,Mavericks,22 December 2021,01 January 2022,10,nba health and safety protocols
Maxi Kleber,Mavericks,20 December 2021,01 January 2022,12,nba health and safety protocols
Onyeka Okongwu,Hawks,24 December 2021,01 January 2022,8,nba health and safety protocols
Terrence Ross,Magic,17 December 2021,01 January 2022,15,nba health and safety protocols
Tim Hardaway Jr.,Mavericks,21 December 2021,01 January 2022,11,nba health and safety protocols
Timothe Luwawu-Cabarrot,Hawks,22 December 2021,01 January 2022,10,nba health and safety protocols
Tyler Johnson,76ers,30 December 2021,01 January 2022,2,nba health and safety protocols
Aleksej Pokusevski,Thunder,27 December 2021,31 December 2021,4,nba health and safety protocols
Jae'Sean Tate,Rockets,27 December 2021,31 December 2021,4,nba health and safety protocols
Jarred Vanderbilt,Timberwolves,20 December 2021,31 December 2021,11,nba health and safety protocols
Jarrett Allen,Cavaliers,19 December 2021,31 December 2021,12,nba health and safety protocols
Kyle Lowry,Heat,25 December 2021,31 December 2021,6,nba health and safety protocols
Naji Marshall,Pelicans,23 December 2021,31 December 2021,8,nba health and safety protocols
Nickeil Alexander-Walker,Pelicans,23 December 2021,31 December 2021,8,nba health and safety protocols
Reggie Bullock,Mavericks,18 December 2021,31 December 2021,13,nba health and safety protocols
Reggie Jackson,Clippers,22 December 2021,31 December 2021,9,nba health and safety protocols
Taurean Prince,Timberwolves,17 December 2021,31 December 2021,14,nba health and safety protocols
Trevor Ariza,Lakers,23 December 2021,31 December 2021,8,nba health and safety protocols
Andre Drummond,76ers,19 December 2021,30 December 2021,11,nba health and safety protocols
Anthony Gill,Wizards,27 December 2021,30 December 2021,3,nba health and safety protocols
Austin Reaves,Lakers,17 December 2021,30 December 2021,13,nba health and safety protocols
Ben McLemore,Blazers,25 December 2021,30 December 2021,5,nba health and safety protocols
Bradley Beal,Wizards,23 December 2021,30 December 2021,7,nba health and safety protocols
Dennis Smith Jr.,Blazers,24 December 2021,30 December 2021,6,nba health and safety protocols
Dylan Windler,Cavaliers,19 December 2021,30 December 2021,11,nba health and safety protocols
Ed Davis,Cavaliers,21 December 2021,30 December 2021,9,nba health and safety protocols
Elfrid Payton,Suns,26 December 2021,30 December 2021,4,nba health and safety protocols
Fred VanVleet,Raptors,21 December 2021,30 December 2021,9,nba health and safety protocols
Kent Bazemore,Lakers,19 December 2021,30 December 2021,11,nba health and safety protocols
Kentavious Caldwell-Pope,Wizards,21 December 2021,30 December 2021,9,nba health and safety protocols
Lamar Stevens,Cavaliers,19 December 2021,30 December 2021,11,nba health and safety protocols
Lou Williams,Hawks,22 December 2021,30 December 2021,8,nba health and safety protocols
OG Anunoby,Raptors,22 December 2021,30 December 2021,8,nba health and safety protocols
Precious Achiuwa,Raptors,21 December 2021,30 December 2021,9,nba health and safety protocols
Scottie Barnes,Raptors,21 December 2021,30 December 2021,9,nba health and safety protocols
Shake Milton,76ers,19 December 2021,30 December 2021,11,nba health and safety protocols
Alex Len,Kings,16 December 2021,29 December 2021,13,nba health and safety protocols
Bol Bol,Nuggets,17 December 2021,29 December 2021,12,nba health and safety protocols
Derrick Favors,Thunder,28 December 2021,29 December 2021,1,nba health and safety protocols
Jordan Poole,Warriors,17 December 2021,29 December 2021,12,nba health and safety protocols
Kevin Durant,Nets,18 December 2021,29 December 2021,11,nba health and safety protocols
LaMarcus Aldridge,Nets,14 December 2021,29 December 2021,15,nba health and safety protocols
Wes Iwundu,Hawks,24 December 2021,29 December 2021,5,nba health and safety protocols
Yves Pons,Grizzlies,26 December 2021,29 December 2021,3,nba health and safety protocols
Evan Mobley,Cavaliers,18 December 2021,28 December 2021,10,nba health and safety protocols
Gary Trent Jr.,Raptors,20 December 2021,28 December 2021,8,nba health and safety protocols
Isaac Okoro,Cavaliers,16 December 2021,28 December 2021,12,nba health and safety protocols
Josh Richardson,Celtics,19 December 2021,28 December 2021,9,nba health and safety protocols
Justin Jackson,Celtics,24 December 2021,28 December 2021,4,nba health and safety protocols
Malachi Flynn,Raptors,21 December 2021,28 December 2021,7,nba health and safety protocols
Naz Reid,Timberwolves,26 December 2021,28 December 2021,2,nba health and safety protocols
Pascal Siakam,Raptors,18 December 2021,28 December 2021,10,nba health and safety protocols
Patrick Beverley,Timberwolves,20 December 2021,28 December 2021,8,nba health and safety protocols
Andrew Wiggins,Warriors,19 December 2021,27 December 2021,8,nba health and safety protocols
Cody Martin,Hornets,19 December 2021,27 December 2021,8,nba health and safety protocols
Grant Williams,Celtics,17 December 2021,27 December 2021,10,nba health and safety protocols
Ignas Brazdeikis,Magic,16 December 2021,27 December 2021,11,nba health and safety protocols
Immanuel Quickley,Knicks,17 December 2021,27 December 2021,10,nba health and safety protocols
Josh Okogie,Timberwolves,19 December 2021,27 December 2021,8,nba health and safety protocols
Moritz Wagner,Magic,17 December 2021,27 December 2021,10,nba health and safety protocols
Trae Young,Hawks,19 December 2021,27 December 2021,8,nba health and safety protocols
Al Horford,Celtics,17 December 2021,26 December 2021,9,nba health and safety protocols
Dalano Banton,Raptors,18 December 2021,26 December 2021,8,nba health and safety protocols
De'Aaron Fox,Kings,16 December 2021,26 December 2021,10,nba health and safety protocols
Georges Niang,76ers,15 December 2021,26 December 2021,11,nba health and safety protocols
Marvin Bagley III,Kings,15 December 2021,26 December 2021,11,nba health and safety protocols
Troy Brown Jr.,Bulls,12 December 2021,26 December 2021,14,nba health and safety protocols
Avery Bradley,Lakers,16 December 2021,25 December 2021,9,nba health and safety protocols
Brodric Thomas,Celtics,18 December 2021,25 December 2021,7,nba health and safety protocols
Clint Capela,Hawks,21 December 2021,25 December 2021,4,nba health and safety protocols
Donte DiVincenzo,Bucks,14 December 2021,25 December 2021,11,nba health and safety protocols
Jabari Parker,Celtics,16 December 2021,25 December 2021,9,nba health and safety protocols
Juancho Hernangomez,Celtics,17 December 2021,25 December 2021,8,nba health and safety protocols
Malik Monk,Lakers,14 December 2021,25 December 2021,11,nba health and safety protocols
R.J. Hampton,Magic,17 December 2021,25 December 2021,8,nba health and safety protocols
RJ Barrett,Knicks,12 December 2021,25 December 2021,13,nba health and safety protocols
RJ Hampton,Magic,17 December 2021,25 December 2021,8,nba health and safety protocols
Terence Davis,Kings,15 December 2021,25 December 2021,10,nba health and safety protocols
Bobby Portis,Bucks,16 December 2021,24 December 2021,8,nba health and safety protocols
Bruce Brown,Nets,14 December 2021,24 December 2021,10,nba health and safety protocols
Caleb Martin,Heat,11 December 2021,24 December 2021,13,nba health and safety protocols
DeAndre' Bembry,Nets,14 December 2021,24 December 2021,10,nba health and safety protocols
Giannis Antetokounmpo,Bucks,14 December 2021,24 December 2021,10,nba health and safety protocols
James Johnson,Nets,14 December 2021,24 December 2021,10,nba health and safety protocols
Alize Johnson,Bulls,13 December 2021,23 December 2021,10,nba health and safety protocols
James Harden,Nets,14 December 2021,23 December 2021,9,nba health and safety protocols
Jevon Carter,Nets,14 December 2021,23 December 2021,9,nba health and safety protocols
Matt Thomas,Bulls,08 December 2021,23 December 2021,15,nba health and safety protocols
Paul Millsap,Nets,13 December 2021,23 December 2021,10,nba health and safety protocols
Zach LaVine,Bulls,12 December 2021,23 December 2021,11,nba health and safety protocols
Obi Toppin,Knicks,11 December 2021,22 December 2021,11,nba health and safety protocols
Dwight Howard,Lakers,14 December 2021,21 December 2021,7,nba health and safety protocols
Talen Horton-Tucker,Lakers,14 December 2021,21 December 2021,7,nba health and safety protocols
Wesley Matthews,Bucks,11 December 2021,21 December 2021,10,nba health and safety protocols
Ja Morant,Grizzlies,08 December 2021,20 December 2021,12,nba health and safety protocols
Derrick Jones Jr.,Bulls,09 December 2021,19 December 2021,10,nba health and safety protocols
Coby White,Bulls,01 December 2021,18 December 2021,17,nba health and safety protocols
DeMar DeRozan,Bulls,06 December 2021,18 December 2021,12,nba health and safety protocols
Javonte Green,Bulls,03 December 2021,18 December 2021,15,nba health and safety protocols
Precious Achiuwa,Raptors,12 December 2021,18 December 2021,6,nba health and safety protocols
Stanley Johnson,Bulls,11 December 2021,18 December 2021,7,nba health and safety protocols
Austin Rivers,Nuggets,01 December 2021,17 December 2021,16,nba health and safety protocols
Ish Smith,Hornets,06 December 2021,15 December 2021,9,nba health and safety protocols
Josh Richardson,Celtics,10 December 2021,15 December 2021,5,nba health and safety protocols
Justin Holiday,Pacers,30 November 2021,15 December 2021,15,nba health and safety protocols
Kyle Kuzma,Wizards,11 December 2021,15 December 2021,4,nba health and safety protocols
LaMelo Ball,Hornets,04 December 2021,15 December 2021,11,nba health and safety protocols
Jalen McDaniels,Hornets,04 December 2021,13 December 2021,9,nba health and safety protocols
Mason Plumlee,Hornets,04 December 2021,13 December 2021,9,nba health and safety protocols
Terry Rozier,Hornets,04 December 2021,12 December 2021,8,nba health and safety protocols
Dillon Brooks,Grizzlies,09 December 2021,11 December 2021,2,nba health and safety protocols
Bol Bol,Nuggets,04 December 2021,08 December 2021,4,nba health and safety protocols
Bones Hyland,Nuggets,01 December 2021,08 December 2021,7,nba health and safety protocols
Nicolas Batum,Clippers,23 November 2021,08 December 2021,15,nba health and safety protocols
D.J. Augustin,Rockets,29 November 2021,02 December 2021,3,nba health and safety protocols
LeBron James,Lakers,30 November 2021,02 December 2021,2,nba health and safety protocols
Joel Embiid,76ers,08 November 2021,27 November 2021,19,nba health and safety protocols
Nikola Vucevic,Bulls,11 November 2021,24 November 2021,13,nba health and safety protocols
Lauri Markkanen,Cavaliers,03 November 2021,21 November 2021,18,nba health and safety protocols
Matisse Thybulle,76ers,05 November 2021,20 November 2021,15,nba health and safety protocols
Kevin Love,Cavaliers,01 November 2021,17 November 2021,16,nba health and safety protocols
Khris Middleton,Bucks,02 November 2021,17 November 2021,15,nba health and safety protocols
Tobias Harris,76ers,03 November 2021,11 November 2021,8,nba health and safety protocols
Jakob Poeltl,Spurs,03 November 2021,07 November 2021,4,nba health and safety protocols
Trey Burke,Mavericks,02 November 2021,03 November 2021,1,nba health and safety protocols
Trey Burke,Mavericks,28 October 2021,29 October 2021,1,nba health and safety protocols
Al Horford,Celtics,19 October 2021,22 October 2021,3,nba health and safety protocols
Amir Coffey,Clippers,30 April 2021,22 May 2021,22,nba health and safety protocols
Hamidou Diallo,Pistons,09 May 2021,14 May 2021,5,nba health and safety protocols
Hassan Whiteside,Kings,09 May 2021,11 May 2021,2,nba health and safety protocols
Zach LaVine,Bulls,15 April 2021,05 May 2021,20,nba health and safety protocols
Jahlil Okafor,Pistons,30 April 2021,04 May 2021,4,nba health and safety protocols
Alize Johnson,Nets,23 April 2021,29 April 2021,6,nba health and safety protocols
Alec Burks,Knicks,16 April 2021,28 April 2021,12,nba health and safety protocols
Kent Bazemore,Warriors,23 April 2021,28 April 2021,5,nba health and safety protocols
Kevin Porter Jr.,Rockets,21 April 2021,26 April 2021,5,nba health and safety protocols
Evan Fournier,Celtics,06 April 2021,23 April 2021,17,nba health and safety protocols
Keljin Blevins,Blazers,21 April 2021,23 April 2021,2,nba health and safety protocols
Adam Mokoka,Bulls,06 April 2021,21 April 2021,15,nba health and safety protocols
Reggie Perry,Nets,19 April 2021,21 April 2021,2,nba health and safety protocols
Shaquille Harrison,Nuggets,09 April 2021,15 April 2021,6,nba health and safety protocols
Anthony Tolliver,76ers,12 April 2021,14 April 2021,2,nba health and safety protocols
Alfonzo McKinnie,Lakers,12 April 2021,13 April 2021,1,nba health and safety protocols
KZ Okpala,Heat,23 March 2021,13 April 2021,21,nba health and safety protocols
Willie Cauley-Stein,Mavericks,18 March 2021,11 April 2021,24,nba health and safety protocols
Daniel Theis,Bulls,05 April 2021,07 April 2021,2,nba health and safety protocols
Tristan Thompson,Celtics,16 March 2021,07 April 2021,22,nba health and safety protocols
Coby White,Bulls,04 April 2021,06 April 2021,2,nba health and safety protocols
Frank Kaminsky,Suns,30 March 2021,06 April 2021,7,nba health and safety protocols
Isaiah Thomas,Pelicans,04 April 2021,05 April 2021,1,nba health and safety protocols
Bobby Portis,Bucks,26 March 2021,02 April 2021,7,nba health and safety protocols
Josh Okogie,Timberwolves,24 March 2021,02 April 2021,9,nba health and safety protocols
Aleksej Pokusevski,Thunder,31 March 2021,01 April 2021,1,nba health and safety protocols
Romeo Langford,Celtics,11 March 2021,01 April 2021,21,nba health and safety protocols
Udonis Haslem,Heat,19 March 2021,01 April 2021,13,nba health and safety protocols
Lou Williams,Hawks,25 March 2021,30 March 2021,5,nba health and safety protocols
Evan Fournier,Celtics,26 March 2021,29 March 2021,3,nba health and safety protocols
Tony Bradley,Thunder,27 March 2021,29 March 2021,2,nba health and safety protocols
Aaron Gordon,Nuggets,26 March 2021,28 March 2021,2,nba health and safety protocols
JaVale McGee,Nuggets,26 March 2021,28 March 2021,2,nba health and safety protocols
Nemanja Bjelica,Heat,26 March 2021,28 March 2021,2,nba health and safety protocols
Otto Porter Jr.,Magic,26 March 2021,28 March 2021,2,nba health and safety protocols
R.J. Hampton,Magic,26 March 2021,28 March 2021,2,nba health and safety protocols
RJ Hampton,Magic,26 March 2021,28 March 2021,2,nba health and safety protocols
Terrance Ferguson,Knicks,27 March 2021,28 March 2021,1,nba health and safety protocols
Wendell Carter Jr.,Magic,26 March 2021,28 March 2021,2,nba health and safety protocols
Isaiah Hartenstein,Cavaliers,26 March 2021,27 March 2021,1,nba health and safety protocols
James Johnson,Pelicans,26 March 2021,27 March 2021,1,nba health and safety protocols
Jeff Teague,Magic,26 March 2021,27 March 2021,1,nba health and safety protocols
Kelly Olynyk,Rockets,26 March 2021,27 March 2021,1,nba health and safety protocols
Matt Thomas,Jazz,26 March 2021,27 March 2021,1,nba health and safety protocols
Wes Iwundu,Pelicans,26 March 2021,27 March 2021,1,nba health and safety protocols
Anfernee Simons,Blazers,23 March 2021,25 March 2021,2,nba health and safety protocols
LaMarcus Aldridge,Spurs,10 March 2021,25 March 2021,15,nba health and safety protocols
Meyers Leonard,Thunder,17 March 2021,25 March 2021,8,nba health and safety protocols
Nassir Little,Blazers,23 March 2021,25 March 2021,2,nba health and safety protocols
Alize Johnson,Nets,23 March 2021,24 March 2021,1,nba health and safety protocols
Jordan McLaughlin,Timberwolves,10 March 2021,24 March 2021,14,nba health and safety protocols
Eric Paschall,Warriors,17 March 2021,23 March 2021,6,nba health and safety protocols
James Johnson,Mavericks,16 March 2021,23 March 2021,7,nba health and safety protocols
James Wiseman,Warriors,17 March 2021,23 March 2021,6,nba health and safety protocols
Derrick Rose,Knicks,02 March 2021,22 March 2021,20,nba health and safety protocols
Devon Dotson,Bulls,18 March 2021,22 March 2021,4,nba health and safety protocols
Cameron Johnson,Suns,04 March 2021,21 March 2021,17,nba health and safety protocols
Kevon Looney,Warriors,20 March 2021,21 March 2021,1,nba health and safety protocols
P.J. Tucker,Bucks,12 March 2021,20 March 2021,8,nba health and safety protocols
Kostas Antetokounmpo,Lakers,11 March 2021,19 March 2021,8,nba health and safety protocols
Marc Gasol,Lakers,02 March 2021,19 March 2021,17,nba health and safety protocols
OG Anunoby,Raptors,02 March 2021,18 March 2021,16,nba health and safety protocols
Dennis Smith Jr.,Pistons,12 March 2021,17 March 2021,5,nba health and safety protocols
Fred VanVleet,Raptors,02 March 2021,17 March 2021,15,nba health and safety protocols
Hassan Whiteside,Kings,24 February 2021,17 March 2021,21,nba health and safety protocols
Pascal Siakam,Raptors,26 February 2021,17 March 2021,19,nba health and safety protocols
Patrick McCaw,Raptors,02 March 2021,17 March 2021,15,nba health and safety protocols
Svi Mykhailiuk,Thunder,14 March 2021,16 March 2021,2,nba health and safety protocols
Ben Simmons,76ers,11 March 2021,14 March 2021,3,nba health and safety protocols
Joel Embiid,76ers,11 March 2021,12 March 2021,1,nba health and safety protocols
Markus Howard,Nuggets,01 March 2021,12 March 2021,11,nba health and safety protocols
Facundo Campazzo,Nuggets,01 March 2021,11 March 2021,10,nba health and safety protocols
Mamadi Diakite,Bucks,04 March 2021,11 March 2021,7,nba health and safety protocols
Derrick White,Spurs,02 March 2021,10 March 2021,8,nba health and safety protocols
Rudy Gay,Spurs,24 February 2021,10 March 2021,14,nba health and safety protocols
Jrue Holiday,Bucks,08 February 2021,28 February 2021,20,nba health and safety protocols
Jakarr Sampson,Pacers,26 February 2021,27 February 2021,1,nba health and safety protocols
Jabari Parker,Kings,25 February 2021,26 February 2021,1,nba health and safety protocols
Adam Mokoka,Bulls,22 February 2021,24 February 2021,2,nba health and safety protocols
Adam Mokoka,Bulls,19 February 2021,20 February 2021,1,nba health and safety protocols
Cody Martin,Hornets,12 February 2021,20 February 2021,8,nba health and safety protocols
PJ Washington,Hornets,12 February 2021,20 February 2021,8,nba health and safety protocols
Adam Mokoka,Bulls,15 February 2021,17 February 2021,2,nba health and safety protocols
Frank Ntilikina,Knicks,09 February 2021,17 February 2021,8,nba health and safety protocols
Theo Maledon,Thunder,07 February 2021,16 February 2021,9,nba health and safety protocols
Jalen Smith,Suns,14 February 2021,15 February 2021,1,nba health and safety protocols
Jalen McDaniels,Hornets,12 February 2021,14 February 2021,2,nba health and safety protocols
Kevin Durant,Nets,06 February 2021,13 February 2021,7,nba health and safety protocols
Tyler Herro,Heat,11 February 2021,12 February 2021,1,nba health and safety protocols
Dennis Smith Jr.,Pistons,09 February 2021,11 February 2021,2,nba health and safety protocols
Adam Mokoka,Bulls,05 February 2021,08 February 2021,3,nba health and safety protocols
Grayson Allen,Grizzlies,29 January 2021,06 February 2021,8,nba health and safety protocols
Jonas Valanciunas,Grizzlies,17 January 2021,05 February 2021,19,nba health and safety protocols
Juancho Hernangomez,Timberwolves,14 January 2021,01 February 2021,18,nba health and safety protocols
Maxi Kleber,Mavericks,10 January 2021,01 February 2021,22,nba health and safety protocols
Norvel Pelle,Nets,29 January 2021,31 January 2021,2,nba health and safety protocols
Damian Jones,Suns,17 January 2021,30 January 2021,13,nba health and safety protocols
Deni Avdija,Wizards,24 January 2021,30 January 2021,6,nba health and safety protocols
Ish Smith,Wizards,24 January 2021,30 January 2021,6,nba health and safety protocols
Jimmy Butler,Heat,16 January 2021,30 January 2021,14,nba health and safety protocols
Trent Forrest,Jazz,23 January 2021,30 January 2021,7,nba health and safety protocols
Troy Brown Jr.,Wizards,24 January 2021,30 January 2021,6,nba health and safety protocols
Kawhi Leonard,Clippers,25 January 2021,29 January 2021,4,nba health and safety protocols
Paul George,Clippers,25 January 2021,29 January 2021,4,nba health and safety protocols
Davis Bertans,Wizards,24 January 2021,28 January 2021,4,nba health and safety protocols
Moritz Wagner,Wizards,12 January 2021,28 January 2021,16,nba health and safety protocols
Rui Hachimura,Wizards,24 January 2021,28 January 2021,4,nba health and safety protocols
Avery Bradley,Heat,16 January 2021,27 January 2021,11,nba health and safety protocols
Dorian Finney-Smith,Mavericks,08 January 2021,27 January 2021,19,nba health and safety protocols
Dwight Powell,Mavericks,12 January 2021,27 January 2021,15,nba health and safety protocols
Grant Riller,Hornets,24 January 2021,27 January 2021,3,nba health and safety protocols
Josh Richardson,Mavericks,08 January 2021,27 January 2021,19,nba health and safety protocols
Jayson Tatum,Celtics,15 January 2021,25 January 2021,10,nba health and safety protocols
Devon Dotson,Bulls,22 January 2021,23 January 2021,1,nba health and safety protocols
Mo Bamba,Magic,14 January 2021,23 January 2021,9,nba health and safety protocols
Chandler Hutchison,Bulls,31 December 2020,22 January 2021,22,nba health and safety protocols
Jalen Smith,Suns,07 January 2021,22 January 2021,15,nba health and safety protocols
Michael Porter Jr.,Nuggets,01 January 2021,22 January 2021,21,nba health and safety protocols
Ricky Rubio,Timberwolves,18 January 2021,22 January 2021,4,nba health and safety protocols
Juwan Morgan,Jazz,05 January 2021,19 January 2021,14,nba health and safety protocols
Devon Dotson,Bulls,14 January 2021,18 January 2021,4,nba health and safety protocols
Jalen Brunson,Mavericks,08 January 2021,18 January 2021,10,nba health and safety protocols
Luke Kornet,Bulls,14 January 2021,18 January 2021,4,nba health and safety protocols
Bam Adebayo,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
Goran Dragic,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
Kendrick Nunn,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
KZ Okpala,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
Moe Harkless,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
Udonis Haslem,Heat,11 January 2021,16 January 2021,5,nba health and safety protocols
Victor Oladipo,Rockets,14 January 2021,16 January 2021,2,nba health and safety protocols
Lauri Markkanen,Bulls,31 December 2020,15 January 2021,15,nba health and safety protocols
Ryan Arcidiacono,Bulls,31 December 2020,15 January 2021,15,nba health and safety protocols
Tobias Harris,76ers,09 January 2021,14 January 2021,5,nba health and safety protocols
